location,dte_ra,ci_lower,ci_upper
0,0.0005609611632523379,-0.0014653496742786567,0.0025872720007833324
1,0.0002823751456964372,-0.0022470770314566833,0.0028118273228495577
2,-0.000170246093855431,-0.0029158771094224653,0.0025753849217116033
3,-0.0005972861106918279,-0.003392444077268989,0.002197871855885333
4,-0.0005055182054754387,-0.003577250518541793,0.0025662141075909156
5,-0.0011701352935371626,-0.004390076238552547,0.0020498056514782217
6,-0.0015242118940047046,-0.005106844864860679,0.0020584210768512692
7,-0.0013657729721807468,-0.005275440920407916,0.002543894976046422
8,-0.0007797740458712829,-0.005366464030940523,0.0038069159391979574
9,-0.0010993771907061647,-0.006040639955633156,0.003841885574220827
10,-0.001668964044525316,-0.0070742260971219,0.0037362980080712684
11,-0.0011456266708557775,-0.007184103797542741,0.004892850455831186
12,0.0010437227533540983,-0.005633457471780742,0.007720902978488938
13,0.0044849393628489526,-0.002814142281446448,0.011784021007144353
14,0.005317468486807558,-0.0027123240465937015,0.013347261020208818
15,0.006436904375615227,-0.002094473287146941,0.014968282038377394
16,0.007085590168563943,-0.0017559501566963703,0.015927130493824257
17,0.008353321940459013,-0.0017162754335827996,0.018422919314500824
18,0.011120997076565997,0.0008385961601125348,0.02140339799301946
19,0.011868533782897844,0.0017717387803268276,0.021965328785468863
20,0.015611929780162237,0.004993478387143245,0.02623038117318123
21,0.016500447947283448,0.005487165198935674,0.02751373069563122
22,0.019345797728355096,0.008035920041264645,0.030655675415445546
23,0.01670158426523438,0.005256067504899074,0.02814710102556969
24,0.016445415280293363,0.004814564007285837,0.028076266553300887
25,0.02009394958559957,0.00865535836372529,0.03153254080747385
26,0.021464918310979297,0.010136776027820522,0.03279306059413807
27,0.020877433145409685,0.00972048836213326,0.03203437792868611
28,0.02380847687240656,0.012722235198843117,0.03489471854597
29,0.025826660643085475,0.01415255855266502,0.03750076273350593
30,0.028527272116520952,0.016929063629452706,0.0401254806035892
31,0.02732074628906611,0.015448705336649271,0.03919278724148295
32,0.026820625330907233,0.015380808709292287,0.03826044195252218
33,0.027039709415985214,0.0165490427213323,0.03753037611063813
34,0.026328115330595092,0.015087020804491815,0.03756920985669837
35,0.02808508423246714,0.01702666252554883,0.039143505939385446
36,0.02919246485187943,0.018231790501348856,0.04015313920241
37,0.029832300313442528,0.018970064763253802,0.040694535863631254
38,0.029872061482473344,0.018723198071569018,0.04102092489337767
39,0.029987139585407996,0.01900167321325158,0.04097260595756441
40,0.030209387963893164,0.01965663826112294,0.04076213766666339
41,0.02993503707895928,0.01959919837420522,0.04027087578371334
42,0.029224733226339117,0.01872580059988721,0.039723665852791024
43,0.030222125625362084,0.020013486472547116,0.04043076477817705
44,0.029958106016898745,0.02016662671090337,0.03974958532289412
45,0.029984417341580527,0.02018243063834202,0.039786404044819035
46,0.030336431339416325,0.02047463589008551,0.04019822678874714
47,0.029939281232715942,0.020193686400923304,0.03968487606450858
48,0.02880673357649366,0.01940589161118314,0.03820757554180418
49,0.02780144366646864,0.018882441636925935,0.03672044569601134
50,0.026960142321215352,0.017701410056793127,0.03621887458563758
51,0.027740426901295523,0.019025276108321262,0.03645557769426978
52,0.026315602195744137,0.01759463550669731,0.03503656888479097
53,0.02510721640570701,0.016372999541180114,0.03384143327023391
54,0.024719378824135774,0.0164402328141316,0.032998524834139946
55,0.024345539342198852,0.016017144838690864,0.03267393384570684
56,0.024496051544341646,0.016097401799630456,0.032894701289052836
57,0.023734404766877715,0.015505831406341127,0.031962978127414304
58,0.02285734824228436,0.015018896048465864,0.030695800436102854
59,0.021590593464955177,0.013849349520158153,0.0293318374097522
60,0.020306575488814982,0.012525768730314493,0.02808738224731547
61,0.020086728925859942,0.012100666058209067,0.02807279179351082
62,0.020533113677268178,0.012703458370856572,0.028362768983679783
63,0.019612372496962127,0.011658084674403399,0.027566660319520854
64,0.019834472139788062,0.012109882935119177,0.027559061344456945
65,0.019349922526112562,0.011632558432936261,0.027067286619288863
66,0.019030987053937132,0.011417640513552227,0.026644333594322035
67,0.01881979616529783,0.011265137186974833,0.02637445514362083
68,0.01760849691375843,0.010360915333988738,0.024856078493528125
69,0.016104051717219514,0.008429721079517609,0.02377838235492142
70,0.01622750843750087,0.00834401026006585,0.02411100661493589
71,0.016742800410755154,0.009277141317739889,0.02420845950377042
72,0.016760495317996615,0.009046648038479306,0.024474342597513923
73,0.016139119455611417,0.008619510010664936,0.023658728900557896
74,0.016453673314080097,0.008964580295969433,0.023942766332190762
75,0.015987291564239947,0.008670390422656726,0.02330419270582317
76,0.016155557539695553,0.008808299510420732,0.023502815568970374
77,0.01487396416422293,0.007950373384921033,0.021797554943524828
78,0.014176680851113788,0.00730170789282571,0.021051653809401865
79,0.013553981357752432,0.006895724198306691,0.020212238517198174
80,0.01317529751780544,0.006571830061265453,0.019778764974345428
81,0.012826559479082844,0.006028586105305889,0.0196245328528598
82,0.013094309332146614,0.006427469407065572,0.019761149257227655
83,0.013012825520244742,0.006468205329827432,0.01955744571066205
84,0.012705888452633984,0.006138671392043255,0.019273105513224715
85,0.012249788536613071,0.005951448533178426,0.018548128540047715
86,0.01123424919277638,0.004797010801359774,0.017671487584192985
87,0.01055559932767458,0.004298410635359848,0.016812788019989314
88,0.0099448842396056,0.003557826650880276,0.016331941828330924
89,0.00994196312737039,0.0037432188891958077,0.016140707365544973
90,0.009944138165604355,0.0035060320316220688,0.01638224429958664
91,0.009675007529698187,0.0035560323059161828,0.015793982753480193
92,0.009356353451844934,0.003191442484270797,0.015521264419419072
93,0.009281689699930262,0.003344228913731184,0.01521915048612934
94,0.009078672839237467,0.0032353946763671324,0.014921951002107803
95,0.00859898709134288,0.0027271165155845697,0.01447085766710119
96,0.008477037425746015,0.0029266647214951083,0.01402741012999692
97,0.007386996273653135,0.0020468390508052133,0.012727153496501057
98,0.007378847252864196,0.001957980523936925,0.012799713981791467
99,0.007119397816897521,0.0019452596535584803,0.012293535980236563
100,0.007161210664807904,0.0020822680914857963,0.012240153238130012
