n,quantile,bias_simple,bias,rmse_simple,rmse,rmse_reduction,true_dte
500,0.1,0.0012830269744765717,0.0008340741941201584,0.02785432834704363,0.02510827140375816,9.85863636369796,-0.044616157691347746
500,0.2,0.0018170374066628803,0.0006583814800069515,0.03159163839279067,0.029270197244438894,7.348277159571248,-0.06707223706011464
500,0.30000000000000004,0.0013871696286703345,0.0004390612159722079,0.03516976529293987,0.03301009945287899,6.140688804921934,-0.08084828575018116
500,0.4,-0.0002549205366214757,-0.0015574637889777332,0.037387833370348116,0.035647631602350495,4.654460050572906,-0.09030431917158566
500,0.5,0.0006520968187283188,0.0001493757039800031,0.041672634740653546,0.0404455449845635,2.944593649349858,-0.09252032700384372
500,0.6,-0.0002223659568492886,0.00034756011292752796,0.040462844371076175,0.039279551823581275,2.9243928989350687,-0.09133632281909942
500,0.7000000000000001,0.002642471422020597,0.0036078313568317943,0.041056663659952114,0.03908960192585929,4.791090066121373,-0.08607230421395196
500,0.8,0.003876756942257099,0.005056633699991219,0.03321578516277968,0.0329867784608282,0.6894514184421441,-0.0682882413579603
500,0.9,0.0034064701232175408,0.004524792745599309,0.02408655199806786,0.024565312826432453,-1.9876685895224844,-0.04346415361970457
1000,0.1,0.002682983343433278,0.002854043966895966,0.020574599803657837,0.017282535089249824,16.0006257512855,-0.044616157691347746
1000,0.2,0.0022320189057618354,0.0020920869560961796,0.0257494091842131,0.02138944991158653,16.93226916949866,-0.06707223706011464
1000,0.30000000000000004,-0.0007089933518635064,-0.001209013552086803,0.03060874953966929,0.024817124722481838,18.921468221631986,-0.08084828575018116
1000,0.4,0.0011945335951918906,0.00011312407558617288,0.031853468894318344,0.02675808977393704,15.996308399836979,-0.09030431917158566
1000,0.5,0.00363124344058314,0.0018250385998237312,0.033838790935444375,0.02859288086743949,15.502652201766665,-0.09252032700384372
1000,0.6,0.00598281199498128,0.003658075523919514,0.03269536405362221,0.0274121895352263,16.158787862802836,-0.09133632281909942
1000,0.7000000000000001,0.009111069255710296,0.00616736907949191,0.03102077451574587,0.02653631831788342,14.45629990826367,-0.08607230421395196
1000,0.8,0.006667470579249119,0.003912627488967519,0.026881648202408296,0.02209690571935156,17.79928986135633,-0.0682882413579603
1000,0.9,0.007176202357070946,0.0051036636474303685,0.02230271172980518,0.019290149009110052,13.507607313370606,-0.04346415361970457
5000,0.1,0.0036509218023545596,0.0033536420170215482,0.00868385001406158,0.006269190154469805,27.80632847966934,-0.044616157691347746
5000,0.2,0.0010519860538407946,0.0006257464649188993,0.010051582055407108,0.006899182259428807,31.362225156213206,-0.06707223706011464
5000,0.30000000000000004,-0.001469526108398627,-0.00209020981462491,0.011559681161000273,0.009109649139890836,21.19463319953223,-0.08084828575018116
5000,0.4,-0.00011587334426619688,-0.0009638980565387162,0.012128264550373505,0.009614792921684651,20.7240831386008,-0.09030431917158566
5000,0.5,0.0007110011268347077,-0.0003228265581708667,0.012690876915612435,0.009797316687839326,22.800317480137444,-0.09252032700384372
5000,0.6,0.0025245258283088335,0.0014655489217695805,0.012614142817912595,0.009245811620441692,26.702814817410626,-0.09133632281909942
5000,0.7000000000000001,0.0058253243306951,0.004967502966493593,0.011612296278886365,0.00946645551856875,18.47903901848604,-0.08607230421395196
5000,0.8,0.0038434157799320688,0.003469436872645576,0.011465222818735686,0.009169616410685744,20.022344478980536,-0.0682882413579603
5000,0.9,0.003546877655379145,0.003524293867038676,0.008966117245052394,0.007366156015227257,17.844527191611437,-0.04346415361970457
