Charge_Threshold,DTE_Estimate,CI_Lower,CI_Upper
1561.4678449071112,0.02352951631967163,-0.010448788461599384,0.057507821100942644
2247.3652220740328,0.05832563005743195,0.02783159352805834,0.08881966658680557
2933.2625992409544,0.06722632496206787,0.030520676127476748,0.103931973796659
3619.159976407876,0.06990769962128371,0.03399555972505589,0.10581983951751153
4305.057353574797,0.07901007752551972,0.02773006763993866,0.1302900874111008
4990.95473074172,0.08966100029520652,0.0388208361113204,0.14050116447909264
5676.85210790864,0.09063212136676035,0.05363133719514313,0.12763290553837758
6362.749485075563,0.10196513916621408,0.04948620018843299,0.15444407814399516
7048.646862242484,0.10575886423582614,0.053777713492904666,0.15774001497874762
7734.544239409406,0.10386805416447692,0.04965837619907719,0.15807773212987664
8420.441616576327,0.10227349739837438,0.05576264504099915,0.1487843497557496
9106.33899374325,0.10072473814520477,0.049989497296754226,0.15145997899365532
9792.23637091017,0.11656184533927327,0.06324395897034776,0.16987973170819878
10478.133748077093,0.12878997944239978,0.07884710614411372,0.17873285274068584
11164.031125244013,0.12108904259409847,0.06773765425602635,0.1744404309321706
11849.928502410934,0.11589995468972691,0.054026869919854656,0.17777303945959916
12535.825879577857,0.10624292447214034,0.05387514973826735,0.15861069920601334
13221.723256744779,0.09498301233511652,0.038802759142593575,0.15116326552763948
13907.6206339117,0.0772494473902553,0.016884110087622348,0.13761478469288824
14593.51801107862,0.07004458664555291,0.017190407561939215,0.12289876572916661
15279.415388245543,0.06207840526121455,0.0074912702858272034,0.1166655402366019
15965.312765412466,0.07241851381958508,0.021216018705822855,0.12362100893334732
16651.210142579388,0.07267857788915377,0.031053666531608487,0.11430348924669906
17337.107519746307,0.07642387247820481,0.02855031658552977,0.12429742837087986
18023.00489691323,0.07876754949908349,0.037214354124246826,0.12032074487392015
18708.902274080152,0.07553225814705333,0.029228523542839842,0.12183599275126683
19394.799651247075,0.06657198778998608,0.019434182978950443,0.11370979260102171
20080.697028413993,0.06945438351511335,0.029444660574680925,0.10946410645554577
20766.594405580916,0.061179521784748725,0.013998760772984425,0.10836028279651302
21452.49178274784,0.06026205337207824,0.020906574624811172,0.0996175321193453
22138.389159914757,0.05927336737293165,0.019986272180430018,0.09856046256543328
22824.28653708168,0.05448969496662648,0.02186203025878944,0.08711735967446352
23510.183914248602,0.049823167270732216,0.015883986940152924,0.08376234760131152
24196.081291415525,0.0486433160792723,0.019634184494864797,0.0776524476636798
24881.978668582447,0.047727581638054906,0.01385546113597265,0.08159970214013716
25567.876045749366,0.051670937212875745,0.02555020581255749,0.077791668613194
26253.77342291629,0.05712412338772266,0.027202852446054276,0.08704539432939104
26939.67080008321,0.060902815506572616,0.029858940655059157,0.09194669035808607
27625.56817725013,0.061389443418719325,0.02842523159245902,0.09435365524497963
28311.465554417053,0.06870361463209806,0.03814188919518276,0.09926534006901337
28997.362931583975,0.06636991010421978,0.036526472392280795,0.09621334781615876
29683.260308750898,0.07509666158563322,0.047037559029315,0.10315576414195143
30369.15768591782,0.08074043145273768,0.05162544751804775,0.10985541538742762
31055.05506308474,0.08371945686697146,0.05604102754363126,0.11139788619031167
31740.95244025166,0.08915778071173641,0.05968268094880341,0.11863288047466941
32426.849817418584,0.09022319440627147,0.05985983651206683,0.1205865523004761
33112.74719458551,0.09426697634245573,0.06519850513604386,0.1233354475488676
33798.644571752426,0.09398198540230884,0.06710696508671432,0.12085700571790337
34484.54194891935,0.09127612065647672,0.05989230447219589,0.12265993684075756
35170.43932608627,0.08700947968773742,0.061496363562401665,0.11252259581307318
